Linear Regression,Neural Network,kNN,Random Forest,SVM,Tree,Magnetic Saturation,Composition ID,Reference DOI
1.673614502,1.591801941,1.593682476,1.597493451,1.714211764,1.581735392,1.566474348,1000110010,https://doi.org/10.1016/j.jallcom.2010.12.104
1.668701172,1.539881328,1.594887295,1.579476038,1.696440375,1.581735392,1.596996436,1000110000,https://doi.org/10.1016/j.jallcom.2010.12.104
1.843994141,1.658456337,1.680361116,1.706306489,1.871808434,1.72209401,1.719885175,1000110000,https://doi.org/10.1016/j.jallcom.2010.12.104
1.550933838,1.605574285,1.716087751,1.710403048,1.542212933,1.770782585,1.739488117,1100110011,https://doi.org/10.1016/j.jallcom.2014.10.202
1.546295166,1.618850954,1.716087751,1.700178671,1.537943238,1.687120716,1.719195612,1100110011,https://doi.org/10.1016/j.jallcom.2014.10.202
1.538116455,1.642349528,1.669652651,1.686098074,1.530257787,1.659689214,1.629798903,1100110011,https://doi.org/10.1016/j.jallcom.2014.10.202
1.541778564,1.632127624,1.669652651,1.691452698,1.533673543,1.687120716,1.689579525,1100110011,https://doi.org/10.1016/j.jallcom.2014.10.202
1.53994751,1.637340782,1.669652651,1.691452698,1.531965665,1.659689214,1.689579525,1100110011,https://doi.org/10.1016/j.jallcom.2014.10.202
1.287597656,1.136250753,1.12287037,0.979673665,1.288353847,0.883333333,0.82,1100100011,https://doi.org/10.1016/j.jmmm.2010.05.008
1.345947266,1.175340939,0.883333333,0.979673665,1.330768836,0.883333333,0.87,1100100011,https://doi.org/10.1016/j.jmmm.2010.05.008
1.345947266,1.175340939,0.883333333,0.979673665,1.330768836,0.883333333,0.96,1100100011,https://doi.org/10.1016/j.jmmm.2010.05.008
1.229248047,1.130128951,1.170110597,1.031980165,1.245938859,1.103333333,1.04,1100100011,https://doi.org/10.1016/j.jmmm.2010.05.008
1.404815674,1.744453575,1.766666667,1.792768411,1.351964767,1.769012913,1.84,1100110010,https://doi.org/10.1016/j.jnoncrysol.2017.12.003
1.353820801,1.727294485,1.766666667,1.795001837,1.309812734,1.769012913,1.76,1100110011,https://doi.org/10.1016/j.jnoncrysol.2017.12.003
1.302276611,1.708899792,1.766666667,1.773885339,1.267084967,1.712253003,1.7,1100110011,https://doi.org/10.1016/j.jnoncrysol.2017.12.003
0.495727539,0.693262267,0.823993686,0.820195649,0.600852456,0.794675941,0.799044716,1000100111,https://doi.org/10.1016/j.physb.2004.09.050
0.846313477,0.916818935,0.894946883,0.906535356,0.951588573,0.849350557,0.848701113,1000100111,https://doi.org/10.1016/j.physb.2004.09.050
0.57144165,0.745276542,0.848398448,0.907403606,0.654588083,0.873075314,0.872936342,1100100111,https://doi.org/10.1016/j.physb.2004.09.050
0.671020508,0.822205925,0.974535966,0.929080741,0.776220515,0.870147292,0.882985195,1000100111,https://doi.org/10.1016/j.physb.2004.09.050
0.922027588,0.969537095,0.940780217,0.929542072,1.005324201,0.986819769,0.986139537,1100100111,https://doi.org/10.1016/j.physb.2004.09.050
0.746734619,0.883390544,1.064416919,1.121372934,0.829956142,1.155132781,1.154908418,1100100111,https://doi.org/10.1016/j.physb.2004.09.050
1.098999023,1.079782002,1.11747535,1.060004129,1.144737673,0.988243205,1.081198624,1101100011,https://doi.org/10.1016/S0022-3093(01)00546-4
1.190979004,1.128703527,1.11747535,1.115216084,1.21867852,1.182736959,1.110847609,1101100011,https://doi.org/10.1016/S0022-3093(01)00546-4
1.282958984,1.184575426,1.157026992,1.193809087,1.292619367,1.182736959,1.160379818,1101100011,https://doi.org/10.1016/S0022-3093(01)00546-4
1.374938965,1.255811013,1.196656667,1.193809087,1.366560214,1.182736959,1.199853549,1101100011,https://doi.org/10.1016/S0022-3093(01)00546-4
1.466918945,1.33150948,1.223196728,1.23500024,1.440501061,1.255468039,1.229736635,1100100011,https://doi.org/10.1016/S0022-3093(01)00546-4
1.256835938,1.211581152,1.316975806,1.268458855,1.278182484,1.255468039,1.490927419,1100100011,https://doi.org/10.1016/S0304-8853(00)00132-3
0.76184082,0.994658716,1.02217742,0.946396206,0.873404637,0.988243205,0.877016129,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
1.037780762,1.115916043,1.265120968,1.218434064,1.095227178,1.182736959,1.282258065,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
1.129760742,1.159578931,1.364919355,1.218434064,1.169168025,1.182736959,1.321572581,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
0.853820801,1.015837565,1.02217742,1.060004129,0.947345484,0.988243205,1.094758065,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
0.991790771,1.087428339,1.189516129,1.176807086,1.058256754,1.182736959,1.191532258,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
0.922790527,1.044942713,1.127016129,1.113381139,1.002801119,1.182736959,1.094758065,1101100011,https://doi.org/10.1016/S0304-8853(00)00132-3
1.408935547,1.424039882,1.412165184,1.487546587,1.478379424,1.524742015,1.236537744,1000100011,https://doi.org/10.1016/S0304-8853(99)00600-9
1.259735107,1.205259018,1.205403307,1.160383874,1.281632994,1.167431409,0.877016653,1100100011,https://doi.org/10.1016/S0304-8853(99)00600-9
0.678253174,0.660294851,0.643277027,0.669884199,0.69277275,0.643277027,0.583293919,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
0.760650635,0.740526878,0.668811937,0.669884199,0.775195738,0.643277027,0.618378378,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
0.97543335,0.798806125,0.698811937,0.711304179,0.936526151,0.643277027,0.728158784,1000100001,https://doi.org/10.1016/S0921-5107(01)00934-5
